,Number,Caption,Like,URL
0,1,"Photo by @estherhorvath | Moss-covered trees and dead wood in the logging-free “core zone” of Germany’s Black Forest National Park. Old firs, beeches, and spruces appear along the Wildnispfades (“wilderness path”) in the northern part of the park. This photo was taken for a story featured in Nat Geo’s September issue, “Meet the marvelous creatures that bring soil to life.” Please follow @estherhorvath for more stories.",97727,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/308626647_795144868208071_609847977831379316_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=vCsWP-3sTwwAX_Pn3pY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCHRNwNt87HszO0QyKOW3n_QZ9q9ZwVI8UE_4Fs3oThVQ&oe=65D801F5&_nc_sid=bc0c2c
1,2,"Photo by @beverlyjoubert | My, what teeth you have… No doubt it’s an impressive set, but unfortunately for the cheetah, not as impressive as it could be. These high-speed hunters pay an evolutionary price for their agility. Because they require large nasal passages to deliver the oxygen needed to power their impressive sprints, cheetahs are left with far less room in the skull to accommodate big teeth. Being light and lithe for maximum speed also makes them vulnerable to meal theft by larger predators like lions, leopards, and hyenas. It’s not easy being the fastest cat on the block.
#cheetah #bigcats #bigcatsofinstagram",195558,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/307723625_160146663285741_3571520959207601833_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=4lCsLS9Q1jkAX_fr0v3&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBAm77nuS-cyVKXW1FpMv-mITPJFTY70AqS91r4LjI73Q&oe=65D68929&_nc_sid=bc0c2c
2,3,"Photo by @acacia.johnson | The first rays of a September morning illuminate an iceberg in Scoresby Sund, East Greenland.  To capture this image, a colleague and I launched zodiacs from our small expedition ship in the dark and drove to an exposed rock in the middle of a bay where polar bear encounters would be unlikely. There, we watched an otherworldly sunrise break over the landscape, painting icebergs calved from nearby glaciers. 

Follow me at @acacia.johnson for more stories from the Arctic and beyond. #arctic #iceberg #greenland #climatechange",121855,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/308554538_3399268830358690_6592035022462560224_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=gLL2q4iqX-0AX8xe0bk&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAo2_SpNOiV9sOlITxdJKZXoyPqcgOX3peL7dJpcfVxZg&oe=65D6387D&_nc_sid=bc0c2c
3,4,"Photo by @jasperdoest | A white stork searches for leftovers at a landfill in Portugal. Not too long ago, the white stork was a wholly migratory species that would breed on the European continent and migrate to Africa during the winter. However, since the 1980s, the year-round food supply at landfill sites like this one has resulted in the establishment of resident stork populations on the Iberian Peninsula. 
 
The landfills have influenced the migration and facilitated the colonization of new areas. Now, with changes in EU waste legislation, open-air landfills are being replaced by facilities inaccessible to birds—which will again likely come with consequences for the storks' winter habitat, breeding, and migratory decisions. Follow photographer me @jasperdoest as I explore the relationship between humankind and nature. #whitestork #landfill #anthropocene #notimetowaste",89130,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/308802582_3439362956292144_8877652709996985033_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=SQULtsHpLWAAX8Rj0sZ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDbUBd5Z2Zu3Hs3TS8fDdnumvWM-3iEUOvSS9-1KdC9DA&oe=65D66BF6&_nc_sid=bc0c2c
4,5,Photo by Robbie Shone @shonephoto | A cave surveyor measures Sarawak Chamber on Malaysian Borneo using a 3D laser scanning device. This giant void is the world's largest cave chamber.,55653,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/308863500_1311530669383279_4052195225936801518_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=x_ORUeiv3zEAX9RKpTW&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD1Nn2ZHaDTTgu4WdLzhIq921YJcYWOVeTKTfemmsoAoA&oe=65D7BE9A&_nc_sid=bc0c2c
5,6,"Photo by @joelsartore. | A critically endangered northern white-cheeked gibbon holds her baby @gibbonconservationcenter in California. Dedicated exclusively to helping gibbons both in human care and in the wild, this center plays a vital role in saving these small apes from extinction, but it has just lost its lease and needs our help now. To learn how you can save the gibbon center, follow me @joelsartore for details. #GibbonConservationCenter #PhotoArk #SaveTogether",187618,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309255951_410177564630330_5634779254647888597_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=CGft4nG5ihoAX8Sh_Ee&edm=APU89FABAAAA&ccb=7-5&oh=00_AfCrwt3Slb19tFkmbq91on0dscV5rMo_jRkWLHNjq1UwjA&oe=65D774EF&_nc_sid=bc0c2c
6,7,"Photo by Orsolya Haarberg @fjellheimengalleri | The steps of the Litlanesfoss waterfall, in Iceland's Hengifossá River, were carved into beautiful basalt columns, created as hot lava contracted during cooling, forming cracks. Please follow @fjellheimengalleri for more images, primarily from the Nordic countries. #iceland #hengifoss #waterfall #landscapephotography",176544,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/308811443_187404593698779_3035663748646940892_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=GCwnQTuoNtgAX_twZFJ&edm=APU89FABAAAA&ccb=7-5&oh=00_AfC9_BMtkj7DgDWSnJB87tZdr6ccblYjVII0MHBUUjqnYA&oe=65D64ECA&_nc_sid=bc0c2c
7,8,"Read the full story at the link in bio. 

Scientists have discovered eight key proteins—also found in people—that help keep grizzly bears diabetes free.

Photograph by Robert Hubner, Washington State University",324964,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309511445_483837203639312_4366030797921535346_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=VNQ2mjwRcTEAX-w3hbV&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB77Gwkxil-ex_iBaGd6UCcEw1XMsb4PtADROBO_qCqMw&oe=65D7CC71&_nc_sid=bc0c2c
8,9,"Photo by @javier_aznar_photography | A red-eyed dwarf iguana (Enyalioides oshaughnessyi) rests on a tree at night in  Ecuador's protected Chocó rainforest. The vulnerable species is endemic to this lowland rainforest and the adjacent Andean foothills. Nonprofit organizations like @fcat_ecuador are vital to the restoration and protection of these last remains of primeval forest in Ecuador, where thousands of species are threatened by habitat loss. Follow @javier_aznar_photography  and @fcat_ecuador to learn and how to help. #insitu #iguana #vulnerable #ecuador #reptiles",247430,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309289038_129034569895838_6858047595911944739_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=ZXR12yc49NgAX9u-6rA&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAeaTqwnlZkXXbyoWVSizliSyMBv2QkmmOdh8bm36K08g&oe=65D6CD3F&_nc_sid=bc0c2c
9,10,"We are deeply saddened by the passing of Hilaree Nelson, one of the most prolific ski mountaineers in the world, a National Geographic Explorer and recipient of the 2018 National Geographic Adventurer of the Year award. 

Read more about her legacy at the link in bio. 

Photograph by Dutch Simpson, The North Face @natgeotravel @natgeoadventure",108766,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309076818_1150624539207524_7207271964499527262_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=Bss_i7BMWcUAX_f3tsn&edm=APU89FABAAAA&ccb=7-5&oh=00_AfB5YeUFtY1VP6RVi655te1ltpjPILGq37DDDCU3wfGeSw&oe=65D68DB0&_nc_sid=bc0c2c
10,11,"Photo by David Chancellor @chancellordavid | A city can be utterly jarring, the cacophony of sounds that weave their way into your soul crushingly painful. The world spins around you, holding back any calmness that you might have. Out here, along Botswana's Chobe River, I have the space and quiet to assess why I do what I do. What does the world outside know or understand about issues that don’t affect them on a daily basis? We are so connected now that each and every one of us can have a profound influence on the planet. Sometimes it's as if I'm standing within my world as those around me spin—until they stop and pay attention rather than accelerating past it. To see more, follow me @chancellordavid.",189408,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309229052_113064108230945_1009356912369718914_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=eNTVYRhYW3UAX-LvGdb&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBWCmpuUFB-r9Y7EfLlR8cePrCk5VJQJVoel2OeZWAoHQ&oe=65D71B1B&_nc_sid=bc0c2c
11,12,"Photo by @moisessaman | Children play at the edge of Sanaa’s Old City. Its distinctive architecture, featuring multistory, mud-brick buildings decorated with ornate geometric patterns, won it recognition as a World Heritage site in 1986. Read the full story at the link in bio and follow @moisessaman for more.",65901,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309270988_405241721762508_5439898241021218000_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=ZQdVRQfSWc8AX8gqfem&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAzEubtOkzpjFZwOcKrQGL1CZS8DwyN1KHiSR4fiEL9Pw&oe=65D75361&_nc_sid=bc0c2c
12,13,"Photo by @jasperdoest | A yellow-billed kite soars over Katwe Market in Kampala, Uganda. It's the largest wholesaler of nsenene, a katydid species considered a national delicacy. Vendors from all over the country arrive around sunrise to be the first to sell freshly harvested katydids, which are still alive and stored in large bags. Occasionally katydids escape from the bag, but then they face another challenge: these birds of prey, which also have their eyes on a fresh katydid snack. Follow photographer @jasperdoest as he explores the relationship between humankind and nature. #nsenene #uganda #grasshoppers #market",111792,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309686907_647138810180621_1894636032312007650_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=Sl7o0tF7XNcAX_CWU_d&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBVhkvItz0ZhNBzrEwuA8CxXxs0O6QHN2PbWTEGHT_Uzw&oe=65D73A21&_nc_sid=bc0c2c
13,14,"Read the full story at the link in bio.

Navy records indicated that U-111 sank off Virginia in 1,600 feet of water, far beyond the limit of any human diver. But years of research led one shipwreck diver to a different conclusion—and a historic discovery.

Photograph by Benjamin Lowy, National Geographic",240977,https://scontent-hou1-1.cdninstagram.com/v/t51.2885-15/309494830_455533749971115_4922855241091532207_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-hou1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hDoFwKNHCa0AX965o5V&edm=APU89FABAAAA&ccb=7-5&oh=00_AfARmpGox7GaR7x58c5e9PwPeUbsvJyKeFHY6w-DYQy8kA&oe=65D703D8&_nc_sid=bc0c2c
